IDs,S,E,labels
6_217,0.92073,2.20093,0
6_218,0.92617,2.34994,0
6_219,0.89448,5.56239,0
6_220,0.89448,5.56239,0
6_221,1.1599,1.97016,0
6_222,1.1599,1.97016,0
6_223,1.1574,2.25666,0
6_224,1.1574,2.25666,0
6_225,1.173,2.07868,0
6_226,1.173,2.07868,1
6_227,1.173,2.07868,0
6_228,1.173,2.07868,0
6_229,0.81795,1.45702,0
6_230,0.92598,2.91515,0
6_231,0.92171,3.03164,0
6_232,0.8863,1.29868,0
6_233,1.1716,2.92483,0
6_234,1.1716,2.92483,0
6_235,1.1716,2.92483,0
6_236,1.1716,2.92483,1
6_237,1.1716,2.92483,0
6_238,0.80394,1.6948,0
6_239,0.89134,2.51136,0
6_240,0.79682,1.85243,0
6_241,0.89964,2.9047,0
6_242,0.9055,3.36701,0
6_243,0.90775,3.42706,0
6_244,0.87872,1.20267,0
6_245,0.87046,2.96037,0
6_246,0.86929,2.97398,0
6_247,0.86766,1.44697,0
6_248,0.88033,3.54354,0
6_249,0.87133,3.54951,0
6_250,0.87948,3.84064,0
6_251,0.87807,3.64481,1
6_252,0.88854,3.51002,0
6_253,0.8793,4.23898,0
6_254,0.86957,4.01384,0
6_255,1.0342,1.41114,0
6_256,1.0342,1.41114,0
6_257,1.0342,1.41114,1
6_258,1.0342,1.41114,0
6_259,1.0342,1.41114,0
6_260,1.0342,1.41114,0
6_261,1.0342,1.41114,0
6_262,1.0342,1.41114,0
6_263,0.88676,4.78291,1
6_264,0.88676,4.78291,0
6_265,0.87748,4.69609,0
6_266,0.88246,4.87324,0
6_267,0.85577,3.16519,0
6_268,0.84283,3.58551,0
6_269,0.84565,3.66227,0
6_270,0.87386,3.54365,0
6_271,0.82491,4.44357,0
6_272,0.82354,4.58109,0
6_273,0.98805,0.0754325,0
6_274,0.86358,4.00536,0
6_275,1.0013,0.589177,0
6_276,0.85134,4.26849,0
6_277,0.83891,4.96314,0
6_278,0.99631,0.643029,0
6_279,0.83242,5.33041,0
6_280,0.84998,5.13276,0
6_281,0.81917,6.18822,1
6_282,1.0196,0.957173,0
6_283,0.81917,6.18822,0
6_284,0.81917,6.18822,0
6_285,0.83077,6.08231,0
6_286,0.83104,6.26416,0
6_287,0.83104,6.26416,0
6_288,0.82916,6.3781,0
6_289,0.82742,6.43495,0
6_290,0.98936,1.10096,0
6_291,1.0355,1.57183,0
6_292,1.0388,1.60673,0
6_293,1.0049,1.46614,0
6_294,0.99463,1.62145,0
6_295,1.0094,1.81044,0
6_296,1.0206,1.33427,0
6_297,0.95812,0.10001,0
6_298,1.0305,1.57273,0
6_299,1.0383,1.90081,0
6_300,0.94811,0.202295,0
6_301,0.96385,1.56353,0
6_302,0.96264,1.8094,0
6_303,1.0,1.25,1
6_304,0.98081,2.69334,0
6_305,1.1429,2.14286,0
6_306,1.1429,2.14286,0
6_307,1.1429,2.14286,0
6_308,1.0,1.25,0
6_309,1.1429,2.14286,0
6_310,1.0,1.25,0
6_311,1.1429,2.14286,1
6_312,1.0,3.33333,0
6_313,1.0,3.33333,0
6_314,1.0,3.33333,0
6_315,1.1429,2.14286,0
6_316,1.1429,2.14286,0
6_317,1.0,3.33333,0
6_318,1.1429,2.14286,0
6_319,1.1429,2.14286,0
6_320,1.1429,2.14286,0
6_321,1.0,1.25,0
6_322,1.0,1.25,0
6_323,1.0,3.33333,0
6_324,1.1429,2.14286,0
6_325,1.0,3.33333,0
6_326,1.0,3.33333,0
6_327,1.0,3.33333,0
6_328,0.98142,2.50151,0
6_329,0.97295,2.93735,0
6_330,0.99027,3.30431,0
6_331,1.0018,3.58315,0
6_332,0.94908,3.06906,0
6_333,1.0474,0.895112,0
6_334,0.98853,4.37957,0
6_335,0.98853,4.37957,0
6_336,0.98853,4.37957,0
6_337,1.0675,0.741242,0
6_338,1.0477,0.988464,0
6_339,1.0369,1.35266,0
6_340,1.0614,0.919074,0
6_341,1.046,2.05928,0
6_342,1.046,2.05928,0
6_343,1.046,2.05928,0
6_344,1.046,2.05928,0
6_345,1.046,2.05928,0
6_346,1.1127,0.803019,0
6_347,1.0513,0.449787,0
6_348,1.1109,1.38383,0
6_349,1.1022,1.55758,0
6_350,1.0741,0.783963,0
6_351,1.1528,1.33297,0
6_352,1.1149,1.51411,0
6_353,1.1341,1.57952,0
6_354,1.0879,0.836502,0
6_355,1.101,2.13592,0
6_356,1.1094,1.20154,0
6_357,1.1236,1.53411,0
6_358,1.091,1.30625,0
6_359,1.0976,1.50063,0
6_360,1.1135,1.44115,0
6_361,1.1265,1.72848,0
6_362,1.1183,3.11276,0
6_363,1.0037,0.62573,0
6_364,0.98805,0.0754325,0
6_365,1.0398,1.07153,0
6_366,1.0369,1.31083,0
6_367,1.0456,1.47701,0
6_368,1.048,1.5263,0
6_369,0.95997,0.326189,1
6_370,1.0234,0.153814,0
6_371,1.028,0.653673,0
