IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,S,E,labels
6_236,0,0,0,0,0,0,0,0,0,8,1,4,2.66666667,1.24721913,1.55555556,3,14,0.43844719,4.56155281,2.8,1.46969385,2.16,1,14,0.43844719,4.56155281,2.8,1.46969385,2.16,1,0.16666667,1.1716,2.92483,1
6_251,0,0,0,0,0,0,0,0,0,14,0.76393202,5.23606798,2.8,1.46969385,2.16,1,16,1.43844719,5.56155281,3.2,1.46969385,2.16,1,16,1.43844719,5.56155281,3.2,1.46969385,2.16,1,0.33333333,0.87807,3.64481,1
6_257,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,4,10,0.38196601,4.30277564,2,1.41421356,2,1,10,0.38196601,4.30277564,2,1.41421356,2,1,0.5,1.0342,1.41114,1
6_263,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,4,12,0.41309402,4.39275625,2.4,1.49666295,2.24,1,12,0.41309402,4.39275625,2.4,1.49666295,2.24,1,0.33333333,0.88676,4.78291,1
6_281,0,0,0,0,0,0,0,0,0,8,2,3,2.66666667,0.47140452,0.22222222,3,14,1,4.41421356,2.8,1.32664992,1.76,1,14,1,4.41421356,2.8,1.32664992,1.76,1,0.16666667,0.81917,6.18822,1
6_303,0,0,0,0,0,0,0,0,0,6,0.58578644,3.41421356,2,1.15470054,1.33333333,3,10,0.69722436,4.30277564,2.5,1.5,2.25,2,12,0.41309402,4.39275625,2.4,1.49666295,2.24,1,0.16666667,1,1.25,1
6_311,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,4,10,0.26794919,3.73205081,2,1.26491106,1.6,1,10,0.26794919,3.73205081,2,1.26491106,1.6,1,0.5,1.1429,2.14286,1
6_369,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,2,14,1.26794919,4.73205081,2.8,1.32664992,1.76,1,14,1.26794919,4.73205081,2.8,1.32664992,1.76,1,0.33333333,0.95997,0.326189,1
6_372,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,4,12,0.32486913,4.21431974,2.4,1.356466,1.84,1,12,0.32486913,4.21431974,2.4,1.356466,1.84,1,0.33333333,1.1429,3.93778,1
6_412,0,0,0,0,0,0,0,0,0,8,0.5188057,4.17008649,2,1.41421356,2,2,10,0.38196601,4.30277564,2,1.41421356,2,1,12,0.43844719,4.56155281,2.4,1.356466,1.84,1,0.33333333,1.1279,0.800252,1
6_460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.26794919,3.73205081,2,1.26491106,1.6,1,10,0.26794919,3.73205081,2,1.26491106,1.6,1,0.16666667,0.96345,1.80898,1
7_222,0,0,0,0,0,0,0,0,0,12,1,5,3,1.41421356,2,3,16,0.46791111,5.19869124,2.66666667,1.69967317,2.88888889,1,16,0.46791111,5.19869124,2.66666667,1.69967317,2.88888889,1,0.42857143,1.1568,3.6478,1
7_581,0,0,0,0,0,0,0,0,0,12,0.58578644,3.41421356,2.4,1.0198039,1.04,2,14,0.32171965,4.62865128,2.33333333,1.49071198,2.22222222,1,14,0.32171965,4.62865128,2.33333333,1.49071198,2.22222222,1,0.71428571,1.0555,6.04614,1
7_628,0,0,0,0,0,0,0,0,0,14,2,4,2.8,0.74833148,0.56,2,16,0.35881352,4.77571286,2.66666667,1.37436854,1.88888889,1,16,0.35881352,4.77571286,2.66666667,1.37436854,1.88888889,1,0.57142857,0.96037,1.51345,1
7_729,0,0,0,0,0,0,0,0,0,14,1,4,2.8,0.9797959,0.96,2,18,0.78568026,4.67513087,3,1.41421356,2,1,18,0.78568026,4.67513087,3,1.41421356,2,1,0.28571429,1.0284,7.501,1
7_934,0,0,0,0,0,0,0,0,0,8,0.38196601,3.61803399,2,1.22474487,1.5,3,12,0.38196601,4.41421356,2,1.41421356,2,1,12,0.38196601,4.41421356,2,1.41421356,2,1,0.71428571,1.1778,2.7192,1
7_1119,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,5,14,0.38196601,4.41421356,2.33333333,1.59861051,2.55555556,1,14,0.38196601,4.41421356,2.33333333,1.59861051,2.55555556,1,0.28571429,0.93659,3.74523,1
7_1141,0,0,0,0,0,0,0,0,0,12,1,5,3,1.41421356,2,3,18,0.5139606,5.31364344,3,1.63299316,2.66666667,1,18,0.5139606,5.31364344,3,1.63299316,2.66666667,1,0.14285714,0.92797,4.71054,1
7_1192,0,0,0,0,0,0,0,0,0,14,0.76393202,5.23606798,2.8,1.83303028,3.36,2,14,0.76393202,5.23606798,2.8,1.83303028,3.36,2,16,0.42211051,5.28349898,2.66666667,1.79505494,3.22222222,1,0.42857143,0.83603,8.08756,1
7_1219,0,0,0,0,0,0,0,0,0,12,0.43844719,4.56155281,2.4,1.356466,1.84,2,16,0.88509246,4.86080585,2.66666667,1.37436854,1.88888889,1,16,0.88509246,4.86080585,2.66666667,1.37436854,1.88888889,1,0.42857143,0.89932,5.56348,1
7_1235,0,0,0,0,0,0,0,0,0,8,2,3,2.66666667,0.47140452,0.22222222,4,14,0.26794919,4.41421356,2.33333333,1.49071198,2.22222222,1,14,0.26794919,4.41421356,2.33333333,1.49071198,2.22222222,1,0.42857143,0.9061,3.75001,1
7_1311,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,5,14,0.30037185,4.46050487,2.33333333,1.49071198,2.22222222,1,14,0.30037185,4.46050487,2.33333333,1.49071198,2.22222222,1,0.28571429,0.97211,1.51174,1
7_1329,0,0,0,0,0,0,0,0,0,10,2,4,2.5,0.8660254,0.75,3,16,0.88509246,4.86080585,2.66666667,1.37436854,1.88888889,1,16,0.88509246,4.86080585,2.66666667,1.37436854,1.88888889,1,0.28571429,1.0006,1.82699,1
7_1341,0,0,0,0,0,0,0,0,0,14,0.43304903,5.30064998,2.33333333,1.59861051,2.55555556,1,18,0.97284345,5.77767558,3,1.52752523,2.33333333,1,18,0.97284345,5.77767558,3,1.52752523,2.33333333,1,0.28571429,1.1339,1.75182,1
7_1714,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,5,14,0.26794919,4.41421356,2.33333333,1.49071198,2.22222222,1,14,0.26794919,4.41421356,2.33333333,1.49071198,2.22222222,1,0.28571429,0.97038,4.98122,1
